Fed List and DJN Total,Zip Code,ex_Name,ex_AREA,ex_PERIMETER,ex_ZT36_D00_,ex_ZT36_D00_I,ex_ZCTA,ex_LSAD,ex_LSAD_TRANS,geometry
677,10012,10012,0.00009,0.03617,2090,2089,10012,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.999559,40.73158,0.0 -73.994203,40.728929,0.0 -73.991853,40.726962,0.0 -73.992602,40.724593,0.0 -73.994114,40.720843,0.0 -73.99602,40.720683,0.0 -74.002046,40.723418,0.0 -74.00416,40.724758,0.0 -74.003566,40.726782,0.0 -74.000898,40.73216,0.0 -73.999559,40.73158,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
667,10013,10013,0.00014,0.05322,2378,2377,10013,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-74.003566,40.726782,0.0 -74.00416,40.724758,0.0 -74.002046,40.723418,0.0 -73.99602,40.720683,0.0 -73.994114,40.720843,0.0 -73.997609,40.714496,0.0 -74.000443,40.714833,0.0 -74.002969,40.716059,0.0 -74.004395,40.716722,0.0 -74.006536,40.716992,0.0 -74.007799,40.715414,0.0 -74.012594,40.717618,0.0 -74.012777,40.719632,0.0 -74.012061,40.722765,0.0 -74.011109,40.724778,0.0 -74.008867,40.727275,0.0 -74.003566,40.726782,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1301,10014,10014,0.00014,0.06087,2077,2076,10014,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-74.000898,40.73216,0.0 -74.003566,40.726782,0.0 -74.008867,40.727275,0.0 -74.011109,40.724778,0.0 -74.012061,40.722765,0.0 -74.01608,40.724823,0.0 -74.015727,40.725669,0.0 -74.011966,40.725073,0.0 -74.011592,40.726124,0.0 -74.00981,40.742763,0.0 -74.002591,40.740136,0.0 -73.999481,40.734214,0.0 -74.000898,40.73216,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
2457,10016,10016,0.00015,0.05123,2064,2063,10016,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.984203,40.749354,0.0 -73.981978,40.752443,0.0 -73.970958,40.747831,0.0 -73.968749,40.747707,0.0 -73.972302,40.74352,0.0 -73.973032,40.740657,0.0 -73.974804,40.737434,0.0 -73.977829,40.738531,0.0 -73.985149,40.742374,0.0 -73.987932,40.744342,0.0 -73.984203,40.749354,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
836,10017,10017,0.00009,0.06881,2050,2049,10017,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.975971,40.754022,0.0 -73.97575,40.754779,0.0 -73.973909,40.754839,0.0 -73.973429,40.755447,0.0 -73.973014,40.756072,0.0 -73.971,40.756082,0.0 -73.966333,40.754107,0.0 -73.966791,40.753499,0.0 -73.965408,40.752968,0.0 -73.962942,40.753423,0.0 -73.968541,40.747565,0.0 -73.968749,40.747707,0.0 -73.970958,40.747831,0.0 -73.981978,40.752443,0.0 -73.980582,40.7543,0.0 -73.978983,40.753669,0.0 -73.978546,40.754294,0.0 -73.980102,40.754941,0.0 -73.97827,40.757471,0.0 -73.977833,40.758079,0.0 -73.974592,40.756735,0.0 -73.97505,40.75616,0.0 -73.975508,40.755519,0.0 -73.976657,40.755194,0.0 -73.975971,40.754022,0.0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-73.975971,40.754022,0.0 -73.977367,40.752165,0.0 -73.976221,40.751701,0.0 -73.974825,40.753574,0.0 -73.975971,40.754022,0.0</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-73.978555,40.752647,0.0 -73.979484,40.753012,0.0 -73.980008,40.752371,0.0 -73.978257,40.751691,0.0 -73.977842,40.752315,0.0 -73.978555,40.752647,0.0</coordinates></LinearRing></innerBoundaryIs></Polygon>"
208,10018,10018,0.00009,0.05234,2039,2038,10018,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-74.002471,40.760013,0.0 -74.001425,40.761311,0.0 -73.984718,40.754362,0.0 -73.985198,40.753737,0.0 -73.981978,40.752443,0.0 -73.984203,40.749354,0.0 -74.001535,40.756536,0.0 -73.999855,40.758919,0.0 -74.002471,40.760013,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1499,10019,10019,0.0002,0.07445,2015,2014,10019,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.974114,40.77002,0.0 -73.972793,40.764981,0.0 -73.973251,40.764389,0.0 -73.973709,40.763748,0.0 -73.976044,40.760577,0.0 -73.979199,40.761871,0.0 -73.979679,40.761247,0.0 -73.976437,40.759952,0.0 -73.976939,40.759328,0.0 -73.978149,40.759777,0.0 -73.978585,40.759185,0.0 -73.980595,40.760031,0.0 -73.981032,40.759407,0.0 -73.98149,40.758766,0.0 -73.984948,40.760192,0.0 -73.984554,40.76085,0.0 -73.986672,40.761746,0.0 -73.989504,40.762874,0.0 -73.989962,40.76225,0.0 -73.997112,40.766026,0.0 -73.99699,40.767756,0.0 -73.994179,40.773122,0.0 -73.982314,40.768094,0.0 -73.980094,40.768758,0.0 -73.979133,40.770188,0.0 -73.97735,40.771467,0.0 -73.974652,40.769664,0.0 -73.974114,40.77002,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
16,10020,10020,0,0.00953,2045,2044,10020,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.981032,40.759407,0.0 -73.978585,40.759185,0.0 -73.977375,40.758671,0.0 -73.977833,40.758079,0.0 -73.97827,40.757471,0.0 -73.98149,40.758766,0.0 -73.981032,40.759407,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4434,10021,10021,0.00035,0.08426,2005,2004,10021,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.97324,40.778371,0.0 -73.971152,40.780012,0.0 -73.966548,40.778037,0.0 -73.963343,40.777747,0.0 -73.956487,40.775782,0.0 -73.949722,40.772927,0.0 -73.947826,40.771241,0.0 -73.947578,40.770222,0.0 -73.958128,40.758713,0.0 -73.972793,40.764981,0.0 -73.974114,40.77002,0.0 -73.972485,40.773823,0.0 -73.974453,40.774538,0.0 -73.974179,40.77709,0.0 -73.97324,40.778371,0.0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-73.948636,40.769778,0.0 -73.951665,40.770282,0.0 -73.952081,40.769608,0.0 -73.949509,40.768545,0.0 -73.948636,40.769778,0.0</coordinates></LinearRing></innerBoundaryIs></Polygon>"
2997,10022,10022,0.00012,0.05862,2031,2030,10022,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.973251,40.764389,0.0 -73.972793,40.764981,0.0 -73.958128,40.758713,0.0 -73.962942,40.753423,0.0 -73.965408,40.752968,0.0 -73.966791,40.753499,0.0 -73.966333,40.754107,0.0 -73.971,40.756082,0.0 -73.973014,40.756072,0.0 -73.974592,40.756735,0.0 -73.977833,40.758079,0.0 -73.977375,40.758671,0.0 -73.976939,40.759328,0.0 -73.976437,40.759952,0.0 -73.976044,40.760577,0.0 -73.973709,40.763748,0.0 -73.972132,40.763085,0.0 -73.971652,40.763758,0.0 -73.973251,40.764389,0.0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-73.973239,40.758641,0.0 -73.973697,40.757968,0.0 -73.972119,40.757337,0.0 -73.971639,40.757994,0.0 -73.971246,40.758569,0.0 -73.972802,40.759233,0.0 -73.973239,40.758641,0.0</coordinates></LinearRing></innerBoundaryIs></Polygon>"
5334,10023,10023,0.00019,0.0852,1997,1996,10023,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.988529,40.779669,0.0 -73.984234,40.784811,0.0 -73.97324,40.778371,0.0 -73.974179,40.77709,0.0 -73.974453,40.774538,0.0 -73.972485,40.773823,0.0 -73.974114,40.77002,0.0 -73.974652,40.769664,0.0 -73.97735,40.771467,0.0 -73.979133,40.770188,0.0 -73.980094,40.768758,0.0 -73.982314,40.768094,0.0 -73.994179,40.773122,0.0 -73.988779,40.781822,0.0 -73.988529,40.779669,0.0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-73.988529,40.779669,0.0 -73.993024,40.773395,0.0 -73.990193,40.772181,0.0 -73.987379,40.775928,0.0 -73.987448,40.779238,0.0 -73.988529,40.779669,0.0</coordinates></LinearRing></innerBoundaryIs></Polygon>"
4778,10024,10024,0.00029,0.13076,1967,1966,10024,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.965529,40.813047,0.0 -73.974158,40.801117,0.0 -73.975957,40.797088,0.0 -73.977128,40.79276,0.0 -73.967119,40.78848,0.0 -73.964207,40.790068,0.0 -73.962726,40.791431,0.0 -73.95732,40.789371,0.0 -73.95714,40.788645,0.0 -73.957074,40.786851,0.0 -73.961395,40.781413,0.0 -73.962847,40.781319,0.0 -73.966548,40.778037,0.0 -73.971152,40.780012,0.0 -73.97324,40.778371,0.0 -73.984234,40.784811,0.0 -73.988529,40.779669,0.0 -73.988779,40.781822,0.0 -73.985203,40.785983,0.0 -73.982387,40.790914,0.0 -73.965412,40.813548,0.0 -73.965529,40.813047,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4294,10025,10025,0.0003,0.08218,1969,1968,10025,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.964023,40.811411,0.0 -73.964438,40.81082,0.0 -73.965967,40.808848,0.0 -73.964894,40.806754,0.0 -73.960181,40.804762,0.0 -73.961107,40.801883,0.0 -73.959659,40.801236,0.0 -73.954129,40.797924,0.0 -73.955657,40.796068,0.0 -73.955553,40.795311,0.0 -73.953429,40.795386,0.0 -73.954748,40.792047,0.0 -73.95732,40.789371,0.0 -73.962726,40.791431,0.0 -73.964207,40.790068,0.0 -73.967119,40.78848,0.0 -73.977128,40.79276,0.0 -73.975957,40.797088,0.0 -73.974158,40.801117,0.0 -73.965529,40.813047,0.0 -73.964023,40.811411,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
130,10026,10026,0.00009,0.04656,1975,1974,10026,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.945108,40.802637,0.0 -73.945983,40.801356,0.0 -73.949247,40.802734,0.0 -73.949771,40.80206,0.0 -73.946463,40.800732,0.0 -73.949106,40.797134,0.0 -73.95248,40.798298,0.0 -73.954129,40.797924,0.0 -73.959659,40.801236,0.0 -73.958261,40.803142,0.0 -73.958377,40.805646,0.0 -73.956498,40.808275,0.0 -73.947828,40.804639,0.0 -73.945108,40.802637,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
419,10027,10027,0.00029,0.09612,1960,1959,10027,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.948619,40.821506,0.0 -73.947905,40.821158,0.0 -73.948001,40.819593,0.0 -73.94981,40.817887,0.0 -73.947965,40.81462,0.0 -73.945154,40.813441,0.0 -73.941776,40.812837,0.0 -73.939953,40.809603,0.0 -73.942793,40.805775,0.0 -73.941193,40.805127,0.0 -73.942985,40.802581,0.0 -73.945108,40.802637,0.0 -73.947828,40.804639,0.0 -73.956498,40.808275,0.0 -73.958377,40.805646,0.0 -73.958261,40.803142,0.0 -73.959659,40.801236,0.0 -73.961107,40.801883,0.0 -73.960181,40.804762,0.0 -73.964894,40.806754,0.0 -73.965967,40.808848,0.0 -73.964438,40.81082,0.0 -73.963509,40.810389,0.0 -73.963072,40.811013,0.0 -73.964023,40.811411,0.0 -73.965529,40.813047,0.0 -73.965412,40.813548,0.0 -73.962384,40.818449,0.0 -73.958761,40.821615,0.0 -73.95886,40.819991,0.0 -73.95315,40.817651,0.0 -73.950891,40.818417,0.0 -73.948619,40.821506,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3881,10028,10028,0.00009,0.05641,2001,2000,10028,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.962847,40.781319,0.0 -73.961187,40.781283,0.0 -73.96009,40.782233,0.0 -73.956848,40.780888,0.0 -73.957306,40.78028,0.0 -73.955642,40.779517,0.0 -73.951795,40.777973,0.0 -73.951271,40.778564,0.0 -73.944485,40.775775,0.0 -73.945882,40.773869,0.0 -73.944162,40.773041,0.0 -73.947578,40.770222,0.0 -73.947826,40.771241,0.0 -73.949722,40.772927,0.0 -73.956487,40.775782,0.0 -73.963343,40.777747,0.0 -73.966548,40.778037,0.0 -73.962847,40.781319,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
250,10029,10029,0.00026,0.07437,1984,1983,10029,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.954129,40.797924,0.0 -73.95248,40.798298,0.0 -73.949106,40.797134,0.0 -73.946463,40.800732,0.0 -73.935417,40.796083,0.0 -73.934893,40.796707,0.0 -73.932775,40.795777,0.0 -73.93055,40.793856,0.0 -73.935244,40.791913,0.0 -73.939598,40.785513,0.0 -73.943591,40.782784,0.0 -73.944264,40.783926,0.0 -73.952153,40.78723,0.0 -73.952568,40.786638,0.0 -73.95714,40.788645,0.0 -73.95732,40.789371,0.0 -73.954748,40.792047,0.0 -73.953429,40.795386,0.0 -73.955553,40.795311,0.0 -73.955657,40.796068,0.0 -73.954129,40.797924,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
59,10030,10030,0.00008,0.03588,1958,1957,10030,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.942907,40.823298,0.0 -73.93723,40.819162,0.0 -73.941776,40.812837,0.0 -73.945154,40.813441,0.0 -73.947965,40.81462,0.0 -73.94981,40.817887,0.0 -73.948001,40.819593,0.0 -73.947905,40.821158,0.0 -73.948619,40.821506,0.0 -73.942907,40.823298,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
106,10031,10031,0.00017,0.06219,1943,1942,10031,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.949294,40.836721,0.0 -73.949725,40.832675,0.0 -73.941268,40.829123,0.0 -73.940285,40.83047,0.0 -73.938771,40.829855,0.0 -73.939365,40.828342,0.0 -73.942907,40.823298,0.0 -73.948619,40.821506,0.0 -73.950891,40.818417,0.0 -73.95315,40.817651,0.0 -73.95886,40.819991,0.0 -73.958761,40.821615,0.0 -73.955217,40.826422,0.0 -73.949294,40.836721,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
157,10032,10032,0.00019,0.06141,1932,1931,10032,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.940285,40.83047,0.0 -73.941268,40.829123,0.0 -73.949725,40.832675,0.0 -73.949294,40.836721,0.0 -73.94604,40.844786,0.0 -73.946923,40.847753,0.0 -73.947003,40.850744,0.0 -73.942946,40.849912,0.0 -73.942282,40.848444,0.0 -73.943166,40.845729,0.0 -73.938834,40.844825,0.0 -73.934637,40.843016,0.0 -73.93492,40.839312,0.0 -73.939162,40.833299,0.0 -73.940285,40.83047,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
613,10033,10033,0.00022,0.11544,1910,1909,10033,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.932881,40.864518,0.0 -73.933368,40.863021,0.0 -73.938747,40.856341,0.0 -73.927773,40.852083,0.0 -73.929643,40.847726,0.0 -73.9283,40.846969,0.0 -73.934632,40.836108,0.0 -73.940285,40.83047,0.0 -73.939162,40.833299,0.0 -73.93492,40.839312,0.0 -73.934637,40.843016,0.0 -73.938834,40.844825,0.0 -73.943166,40.845729,0.0 -73.942282,40.848444,0.0 -73.942946,40.849912,0.0 -73.947003,40.850744,0.0 -73.944795,40.852185,0.0 -73.938218,40.859942,0.0 -73.933142,40.867074,0.0 -73.93227,40.869311,0.0 -73.932868,40.869608,0.0 -73.932477,40.87042,0.0 -73.931614,40.869599,0.0 -73.930242,40.870536,0.0 -73.932881,40.864518,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
246,10034,10034,0.00024,0.07764,1907,1906,10034,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.932881,40.864518,0.0 -73.930242,40.870536,0.0 -73.931614,40.869599,0.0 -73.932477,40.87042,0.0 -73.926377,40.87822,0.0 -73.922519,40.877492,0.0 -73.921865,40.876505,0.0 -73.922295,40.874866,0.0 -73.920686,40.873271,0.0 -73.919701,40.873829,0.0 -73.920624,40.875697,0.0 -73.91774,40.874555,0.0 -73.911472,40.873424,0.0 -73.910646,40.87264,0.0 -73.911161,40.868936,0.0 -73.918092,40.860299,0.0 -73.921039,40.860721,0.0 -73.922697,40.859163,0.0 -73.927017,40.865683,0.0 -73.930589,40.866964,0.0 -73.931761,40.86682,0.0 -73.932881,40.864518,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
53,10035,10035,0.00016,0.06204,1972,1971,10035,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.939953,40.809603,0.0 -73.932989,40.807463,0.0 -73.930021,40.803195,0.0 -73.928643,40.798852,0.0 -73.929101,40.795061,0.0 -73.93055,40.793856,0.0 -73.932775,40.795777,0.0 -73.934893,40.796707,0.0 -73.935417,40.796083,0.0 -73.946463,40.800732,0.0 -73.949771,40.80206,0.0 -73.949247,40.802734,0.0 -73.945983,40.801356,0.0 -73.945108,40.802637,0.0 -73.942985,40.802581,0.0 -73.941193,40.805127,0.0 -73.942793,40.805775,0.0 -73.939953,40.809603,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
477,10036,10036,0.00014,0.07482,2027,2026,10036,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.98149,40.758766,0.0 -73.97827,40.757471,0.0 -73.980102,40.754941,0.0 -73.980582,40.7543,0.0 -73.981978,40.752443,0.0 -73.985198,40.753737,0.0 -73.984718,40.754362,0.0 -74.001425,40.761311,0.0 -74.002471,40.760013,0.0 -74.00671,40.756448,0.0 -74.004026,40.760417,0.0 -74.001179,40.763522,0.0 -74.000265,40.763799,0.0 -73.99699,40.767756,0.0 -73.997112,40.766026,0.0 -73.989962,40.76225,0.0 -73.989504,40.762874,0.0 -73.986672,40.761746,0.0 -73.984554,40.76085,0.0 -73.984948,40.760192,0.0 -73.98149,40.758766,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
67,10037,10037,0.00006,0.03445,1964,1963,10037,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.93387,40.819547,0.0 -73.934213,40.81133,0.0 -73.932989,40.807463,0.0 -73.939953,40.809603,0.0 -73.941776,40.812837,0.0 -73.93723,40.819162,0.0 -73.93387,40.819547,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
339,10038,10038,0.00007,0.05016,2384,2383,10038,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-74.000443,40.714833,0.0 -73.997609,40.714496,0.0 -73.996102,40.709551,0.0 -73.99197,40.709979,0.0 -73.997601,40.708969,0.0 -74.001894,40.707037,0.0 -74.006727,40.704109,0.0 -74.004593,40.705611,0.0 -74.010468,40.709608,0.0 -74.009924,40.710265,0.0 -74.008618,40.711744,0.0 -74.000839,40.7135,0.0 -74.000443,40.714833,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
51,10039,10039,0.00008,0.04451,1946,1945,10039,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.940285,40.83047,0.0 -73.934632,40.836108,0.0 -73.935194,40.832399,0.0 -73.933919,40.823576,0.0 -73.93387,40.819547,0.0 -73.93723,40.819162,0.0 -73.942907,40.823298,0.0 -73.939365,40.828342,0.0 -73.938771,40.829855,0.0 -73.940285,40.83047,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
533,10040,10040,0.00017,0.06562,1916,1915,10040,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.932881,40.864518,0.0 -73.931761,40.86682,0.0 -73.930589,40.866964,0.0 -73.927017,40.865683,0.0 -73.922697,40.859163,0.0 -73.921039,40.860721,0.0 -73.918092,40.860299,0.0 -73.921858,40.856022,0.0 -73.9283,40.846969,0.0 -73.929643,40.847726,0.0 -73.927773,40.852083,0.0 -73.938747,40.856341,0.0 -73.933368,40.863021,0.0 -73.932881,40.864518,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
