Fed List and DJN Total,Zip Code,ex_Name,ex_AREA,ex_PERIMETER,ex_ZT36_D00_,ex_ZT36_D00_I,ex_ZCTA,ex_LSAD,ex_LSAD_TRANS,geometry
1123,10001,10001,0.00018,0.0752,2042,2041,10001,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-74.00671,40.756448,0.0 -74.002471,40.760013,0.0 -73.999855,40.758919,0.0 -74.001535,40.756536,0.0 -73.984203,40.749354,0.0 -73.987932,40.744342,0.0 -73.988347,40.743717,0.0 -73.991566,40.74511,0.0 -73.992525,40.743812,0.0 -73.997686,40.746759,0.0 -74.002535,40.748447,0.0 -74.003806,40.748423,0.0 -74.008453,40.750281,0.0 -74.008744,40.7521,0.0 -74.00671,40.756448,0.0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-73.994044,40.751722,0.0 -73.994917,40.750472,0.0 -73.992129,40.749344,0.0 -73.991257,40.750528,0.0 -73.994044,40.751722,0.0</coordinates></LinearRing></innerBoundaryIs></Polygon>"
1106,10002,10002,0.00026,0.07943,2377,2376,10002,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.992602,40.724593,0.0 -73.988688,40.723742,0.0 -73.985643,40.722316,0.0 -73.975246,40.719583,0.0 -73.975113,40.720708,0.0 -73.971893,40.727318,0.0 -73.973658,40.719408,0.0 -73.976279,40.712723,0.0 -73.978179,40.710523,0.0 -73.980779,40.709723,0.0 -73.986661,40.709073,0.0 -73.99197,40.709979,0.0 -73.996102,40.709551,0.0 -73.997609,40.714496,0.0 -73.994114,40.720843,0.0 -73.992602,40.724593,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
2655,10003,10003,0.00015,0.0542,2083,2082,10003,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.991094,40.74002,0.0 -73.980141,40.735326,0.0 -73.988688,40.723742,0.0 -73.992602,40.724593,0.0 -73.991853,40.726962,0.0 -73.994203,40.728929,0.0 -73.999559,40.73158,0.0 -73.996305,40.732855,0.0 -73.991094,40.74002,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
78,10004,10004,0.00003,0.03796,2391,2390,10004,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-74.012492,40.707292,0.0 -74.009043,40.704367,0.0 -74.010585,40.703235,0.0 -74.01182,40.702958,0.0 -74.011566,40.701871,0.0 -74.014057,40.701219,0.0 -74.012846,40.701166,0.0 -74.009487,40.702211,0.0 -74.006727,40.704109,0.0 -74.009659,40.701758,0.0 -74.011362,40.701047,0.0 -74.014772,40.700789,0.0 -74.015346,40.700987,0.0 -74.015639,40.702117,0.0 -74.01644,40.705277,0.0 -74.012492,40.707292,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
97,10005,10005,0.00002,0.03546,2388,2387,10005,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-74.010794,40.709263,0.0 -74.010468,40.709608,0.0 -74.004593,40.705611,0.0 -74.006727,40.704109,0.0 -74.009487,40.702211,0.0 -74.012846,40.701166,0.0 -74.014057,40.701219,0.0 -74.011566,40.701871,0.0 -74.008225,40.703541,0.0 -74.009043,40.704367,0.0 -74.012492,40.707292,0.0 -74.011165,40.70877,0.0 -74.010107,40.708092,0.0 -74.009672,40.708519,0.0 -74.010794,40.709263,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
45,10006,10006,0.00002,0.01918,2387,2386,10006,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-74.011133,40.710796,0.0 -74.009924,40.710265,0.0 -74.010468,40.709608,0.0 -74.010794,40.709263,0.0 -74.011165,40.70877,0.0 -74.012492,40.707292,0.0 -74.01644,40.705277,0.0 -74.014139,40.711298,0.0 -74.011133,40.710796,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
235,10007,10007,0.00005,0.04596,2381,2380,10007,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-74.004395,40.716722,0.0 -74.005287,40.715687,0.0 -74.003345,40.714562,0.0 -74.002969,40.716059,0.0 -74.000443,40.714833,0.0 -74.000839,40.7135,0.0 -74.008618,40.711744,0.0 -74.009924,40.710265,0.0 -74.011133,40.710796,0.0 -74.013477,40.71408,0.0 -74.016025,40.715206,0.0 -74.012594,40.717618,0.0 -74.007799,40.715414,0.0 -74.006536,40.716992,0.0 -74.004395,40.716722,0.0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-74.00915,40.713705,0.0 -74.009563,40.713163,0.0 -74.008074,40.712418,0.0 -74.007551,40.712976,0.0 -74.00915,40.713705,0.0</coordinates></LinearRing></innerBoundaryIs></Polygon>"
1069,10009,10009,0.00016,0.04961,2088,2087,10009,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.980141,40.735326,0.0 -73.973591,40.732548,0.0 -73.971893,40.727318,0.0 -73.975113,40.720708,0.0 -73.975246,40.719583,0.0 -73.985643,40.722316,0.0 -73.988688,40.723742,0.0 -73.980141,40.735326,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1616,10010,10010,0.00009,0.07277,2073,2072,10010,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.968749,40.747707,0.0 -73.968541,40.747565,0.0 -73.971879,40.743122,0.0 -73.974215,40.735225,0.0 -73.973591,40.732548,0.0 -73.980141,40.735326,0.0 -73.991094,40.74002,0.0 -73.992525,40.743812,0.0 -73.991566,40.74511,0.0 -73.988347,40.743717,0.0 -73.987932,40.744342,0.0 -73.985149,40.742374,0.0 -73.977829,40.738531,0.0 -73.974804,40.737434,0.0 -73.973032,40.740657,0.0 -73.972302,40.74352,0.0 -73.968749,40.747707,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
2410,10011,10011,0.00018,0.06523,2065,2064,10011,Z5,5-Digit ZCTA,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-73.992525,40.743812,0.0 -73.991094,40.74002,0.0 -73.996305,40.732855,0.0 -73.999559,40.73158,0.0 -74.000898,40.73216,0.0 -73.999481,40.734214,0.0 -74.002591,40.740136,0.0 -74.00981,40.742763,0.0 -74.00878,40.748622,0.0 -74.01048,40.748922,0.0 -74.008744,40.7521,0.0 -74.008453,40.750281,0.0 -74.003806,40.748423,0.0 -74.002535,40.748447,0.0 -73.997686,40.746759,0.0 -73.992525,40.743812,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
